time,x,y,z,gforce
3.8530,0.0551,-0.0106,-1.0089,1.010
3.8580,0.0737,-0.0037,-1.0079,1.011
3.8620,0.0873,-0.0037,-1.0177,1.021
3.8660,0.0766,0.0139,-1.0509,1.054
3.8710,0.0365,0.0051,-1.0895,1.090
3.8760,-0.0299,-0.0106,-1.1383,1.139
3.8790,-0.0822,-0.0086,-1.1725,1.175
3.8840,-0.0807,-0.0247,-1.2028,1.206
3.9040,-0.0783,-0.0233,-1.1921,1.195
3.9100,-0.0275,-0.0189,-1.1691,1.170
3.9120,-0.0001,-0.0101,-1.1510,1.151
3.9160,0.0370,0.0026,-1.0968,1.097
3.9170,0.0776,-0.0086,-1.0641,1.067
3.9180,0.0771,-0.0286,-1.0817,1.085
3.9190,0.0316,-0.0106,-1.0563,1.057
3.9260,0.0077,-0.0032,-1.0748,1.075
3.9270,-0.0104,0.0124,-1.0548,1.055
3.9270,-0.0197,0.0153,-1.0050,1.005
3.9320,-0.0153,0.0114,-0.9747,0.975
3.9360,-0.0040,0.0075,-0.9473,0.947
3.9410,0.0228,-0.0135,-0.9732,0.974
3.9450,0.0458,-0.0189,-0.9722,0.973
3.9490,0.0517,-0.0213,-0.9918,0.993
3.9550,0.0473,-0.0101,-1.0113,1.012
3.9580,0.0580,-0.0086,-0.9849,0.987
3.9620,0.0546,0.0129,-0.9610,0.963
3.9660,0.0302,0.0280,-0.9458,0.947
3.9720,0.0341,0.0339,-0.9424,0.944
3.9760,0.0468,0.0329,-0.9483,0.950
3.9800,0.0619,0.0227,-0.9649,0.967
3.9850,0.0629,0.0183,-1.0313,1.033
3.9890,0.0399,0.0085,-1.1418,1.142
3.9930,0.0536,0.0031,-1.2126,1.214
3.9970,0.0395,0.0183,-1.2537,1.254
4.0020,0.0277,0.0266,-1.2581,1.259
4.0150,0.0228,0.0456,-1.2380,1.239
4.0160,0.0180,0.0608,-1.2160,1.218
4.0180,0.0336,0.0671,-1.1755,1.178
4.0350,0.0478,0.0642,-1.1105,1.113
4.0360,0.1118,0.0417,-0.8667,0.875
4.0370,0.1377,0.0271,-0.8574,0.869
4.0380,0.1943,0.0158,-1.0616,1.079
4.0380,0.1948,0.0007,-1.2175,1.233
4.0430,0.1631,-0.0199,-1.2849,1.295
4.0450,0.0976,-0.0296,-1.3372,1.341
4.0510,0.0683,-0.0340,-1.3851,1.387
4.0570,0.0888,-0.0326,-1.4310,1.434
4.0580,0.1181,-0.0345,-1.4154,1.421
4.0620,0.1396,-0.0203,-1.4139,1.421
4.0670,0.1797,-0.0169,-1.4144,1.426
4.0720,0.2232,-0.0159,-1.4027,1.420
4.0760,0.2403,-0.0125,-1.3514,1.373
4.0870,0.2310,-0.0096,-1.2805,1.301
4.0890,0.2139,-0.0120,-1.1970,1.216
4.0910,0.2110,0.0002,-1.1344,1.154
4.0960,0.2051,0.0144,-1.0729,1.092
4.1080,0.2051,0.0183,-0.9918,1.013
4.1090,0.2432,0.0212,-0.9292,0.961
4.1110,0.2632,0.0280,-0.8330,0.874
4.1120,0.2921,0.0427,-0.7157,0.774
4.1170,0.3272,0.0359,-0.7352,0.806
4.1250,0.3018,0.0319,-0.7294,0.790
4.1270,0.2813,0.0104,-0.7328,0.785
4.1290,0.2525,-0.0169,-0.7802,0.820
4.1330,0.2623,-0.0633,-0.8681,0.909
4.1380,0.3219,-0.1034,-0.9317,0.991
4.1420,0.3976,-0.1278,-0.9624,1.049
4.1460,0.4406,-0.1205,-0.9659,1.068
4.1500,0.4670,-0.1146,-0.9243,1.042
4.1600,0.4743,-0.0907,-0.8774,1.002
4.1610,0.4704,-0.0668,-0.7909,0.923
4.1640,0.4440,-0.0472,-0.7690,0.889
4.1710,0.4514,-0.0389,-0.7064,0.839
4.1730,0.4685,-0.0296,-0.6932,0.837
4.1840,0.4802,-0.0262,-0.6615,0.818
4.1860,0.5349,-0.0326,-0.6258,0.824
4.1880,0.5320,-0.0277,-0.6571,0.846
4.1890,0.5476,-0.0301,-0.6971,0.887
4.1940,0.5965,-0.0247,-0.7172,0.933
4.1990,0.6473,-0.0301,-0.7260,0.973
4.2040,0.6898,-0.0262,-0.7391,1.011
4.2070,0.7167,-0.0184,-0.7211,1.017
4.2110,0.7264,-0.0008,-0.6776,0.993
4.2150,0.7284,0.0148,-0.6126,0.952
4.2220,0.7230,0.0368,-0.5701,0.921
4.2250,0.7079,0.0495,-0.5510,0.898
4.2290,0.7162,0.0593,-0.5447,0.902
4.2350,0.7255,0.0598,-0.5237,0.897
4.2380,0.7538,0.0701,-0.5129,0.914
4.2420,0.8032,0.0681,-0.5095,0.954
4.2460,0.8540,0.0701,-0.5286,1.007
4.2520,0.9116,0.0686,-0.5579,1.071
4.2560,0.8921,0.0764,-0.6580,1.111
4.2600,0.8339,0.0774,-0.7602,1.131
4.2650,0.7983,0.0705,-0.7919,1.127
4.2770,0.8212,0.0549,-0.5520,0.991
4.2780,0.8154,0.0305,-0.3448,0.886
4.2830,0.7626,0.0114,-0.3033,0.821
4.2910,0.7367,0.0241,-0.3790,0.829
4.2920,0.7435,0.0300,-0.3986,0.844
4.2930,0.7523,0.0183,-0.3101,0.814
4.3040,0.7592,0.0085,-0.2476,0.799
4.3050,0.7606,0.0065,-0.2711,0.808
4.3060,0.7758,0.0080,-0.2520,0.816
4.3070,0.7787,-0.0032,-0.2266,0.811
4.3130,0.7939,-0.0018,-0.1875,0.816
4.3170,0.8139,0.0016,-0.1401,0.826
4.3210,0.8339,0.0051,-0.0825,0.838
4.3250,0.8462,0.0051,-0.0321,0.847
4.3300,0.8413,0.0075,-0.0013,0.841
4.3340,0.8330,0.0080,0.0260,0.833
4.3380,0.8207,0.0070,0.0338,0.821
4.3420,0.7895,0.0080,0.0602,0.792
4.3470,0.7636,0.0095,0.0558,0.766
4.3510,0.7235,0.0021,0.0627,0.726
4.3660,0.6888,0.0085,0.0666,0.692
4.3660,0.6556,0.0016,0.0715,0.659
4.3680,0.6292,0.0051,0.1013,0.637
4.3710,0.6097,0.0007,0.1213,0.622
4.3720,0.5891,0.0065,0.1609,0.611
4.3780,0.5755,0.0085,0.2425,0.625
4.3840,0.5559,0.0129,0.3456,0.655
4.3860,0.5393,0.0168,0.4179,0.682
4.3900,0.5202,0.0285,0.5171,0.734
4.3940,0.4958,0.0344,0.6124,0.789
4.4080,0.4797,0.0412,0.7101,0.858
4.4090,0.4709,0.0549,0.7467,0.885
4.4110,0.5139,0.0486,0.7296,0.894
4.4130,0.5735,0.0324,0.7330,0.931
4.4300,0.6766,0.0158,0.7672,1.023
4.4310,0.7553,-0.0086,0.7785,1.085
4.4320,0.7792,-0.0438,0.7941,1.113
4.4330,0.7812,-0.0765,0.8317,1.144
4.4340,0.7308,-0.0912,0.9094,1.170
4.4380,0.6859,-0.0853,1.0306,1.241
4.4420,0.6644,-0.0785,1.0487,1.244
4.4470,0.5818,-0.0555,1.0086,1.166
4.4510,0.5618,-0.0472,0.9827,1.133
4.4550,0.4733,-0.0272,0.9417,1.054
4.4630,0.4719,-0.0218,0.8967,1.014
4.4690,0.4357,-0.0037,0.8703,0.973
4.4700,0.4123,-0.0027,0.7980,0.898
4.4730,0.4333,0.0007,0.8195,0.927
4.4780,0.4328,0.0007,0.7614,0.876
4.4840,0.4489,-0.0042,0.7653,0.887
4.4860,0.4685,-0.0091,0.7555,0.889
4.4910,0.4743,-0.0101,0.7707,0.905
4.4950,0.4518,-0.0096,0.7829,0.904
4.5020,0.4548,-0.0189,0.8171,0.935
4.5040,0.4230,-0.0111,0.8249,0.927
4.5080,0.3742,-0.0125,0.7917,0.876
4.5160,0.3502,-0.0062,0.8293,0.900
4.5190,0.3316,-0.0115,0.8371,0.900
4.5210,0.2955,0.0036,0.8327,0.884
4.5270,0.2886,0.0021,0.8899,0.936
4.5340,0.2584,0.0075,0.8865,0.923
4.5360,0.2598,0.0139,0.9441,0.979
4.5400,0.2383,0.0119,0.9490,0.979
4.5440,0.2339,0.0100,1.0086,1.035
4.5610,0.2154,0.0139,1.0995,1.120
4.5630,0.2007,0.0075,1.1899,1.207
4.5640,0.1914,0.0124,1.2822,1.297
4.5640,0.1782,0.0153,1.3247,1.337
4.5750,0.1704,0.0183,1.3946,1.405
4.5760,0.1821,0.0144,1.4215,1.433
4.5770,0.1992,0.0026,1.4376,1.451
4.5790,0.1890,-0.0081,1.3643,1.377
4.5920,0.1987,-0.0223,1.3037,1.319
4.5930,0.1929,-0.0326,1.2427,1.258
4.5950,0.1914,-0.0418,1.1625,1.179
4.5950,0.1802,-0.0457,1.0863,1.102
4.6000,0.1870,-0.0433,1.0379,1.056
4.6040,0.1821,-0.0492,1.0140,1.031
4.6090,0.1719,-0.0477,0.9676,0.984
4.6150,0.1489,-0.0326,0.9456,0.958
4.6170,0.1504,-0.0340,0.9353,0.948
4.6220,0.1543,-0.0277,0.9114,0.925
4.6330,0.1352,-0.0145,0.8762,0.887
4.6340,0.1416,-0.0081,0.8884,0.900
4.6350,0.1303,0.0007,0.8826,0.892
4.6390,0.1411,-0.0042,0.9085,0.919
4.6530,0.1342,-0.0008,0.8860,0.896
4.6540,0.1347,-0.0106,0.9148,0.925
4.6550,0.1323,-0.0076,0.9138,0.923
4.6560,0.1289,-0.0155,0.8738,0.883
4.6760,0.1088,-0.0228,0.8733,0.880
4.6770,0.1103,-0.0267,0.8611,0.869
4.6780,0.1127,-0.0267,0.8576,0.865
4.6790,0.1113,-0.0311,0.8772,0.885
4.6790,0.0986,-0.0409,0.8899,0.896
4.6840,0.0825,-0.0409,0.9148,0.919
4.6870,0.0580,-0.0360,0.9192,0.922
4.6920,0.0629,-0.0296,0.9407,0.943
4.6980,0.0839,-0.0228,1.0184,1.022
4.7010,0.0829,-0.0140,1.1239,1.127
4.7070,0.0395,0.0031,1.2827,1.283
4.7110,-0.0949,0.0432,1.4469,1.451
4.7150,-0.2156,0.0749,1.5661,1.583
4.7180,-0.3036,0.0906,1.6213,1.652
4.7220,-0.3363,0.0876,1.5559,1.594
4.7270,-0.2767,0.0393,1.3995,1.427
4.7310,-0.1096,-0.0184,1.2412,1.246
4.7350,0.0077,-0.0409,1.0990,1.100
4.7400,0.0551,-0.0404,0.9729,0.975
4.7450,0.0873,-0.0355,0.8474,0.853
4.7490,0.1088,-0.0394,0.7326,0.742
4.7530,0.1015,-0.0345,0.6466,0.655
4.7570,0.0575,-0.0208,0.6011,0.604
4.7710,0.0302,0.0002,0.5953,0.596
4.7720,0.0263,0.0007,0.6500,0.651
4.7730,0.0096,0.0065,0.7399,0.740
4.7740,-0.0118,0.0021,0.8713,0.871
4.7930,-0.0431,-0.0067,1.0135,1.014
4.7940,-0.0597,-0.0027,1.1337,1.135
4.7950,-0.0612,0.0026,1.2388,1.240
4.8030,-0.0661,0.0075,1.2935,1.295
4.8030,-0.0514,0.0041,1.2778,1.279
4.8040,-0.0236,-0.0008,1.1962,1.196
4.8060,-0.0055,-0.0057,1.0731,1.073
4.8100,0.0033,-0.0067,0.9759,0.976
4.8140,0.0033,-0.0057,0.8982,0.898
4.8180,-0.0040,-0.0096,0.8567,0.857
4.8220,-0.0114,-0.0062,0.8337,0.834
4.8270,-0.0123,-0.0042,0.8576,0.858
4.8320,-0.0250,-0.0042,0.8913,0.892
4.8360,-0.0265,-0.0047,0.9485,0.949
4.8440,-0.0299,-0.0003,0.9993,1.000
4.8460,-0.0206,-0.0027,1.0394,1.040
4.8490,-0.0192,0.0002,1.0658,1.066
4.8530,-0.0158,-0.0027,1.0604,1.061
4.8590,-0.0050,-0.0047,1.0467,1.047
4.8620,-0.0089,-0.0047,1.0291,1.029
4.8660,-0.0084,-0.0081,1.0115,1.012
4.8700,-0.0143,-0.0023,0.9817,0.982
4.8810,-0.0172,-0.0057,0.9568,0.957
4.8820,-0.0221,-0.0091,0.9466,0.947
4.8900,-0.0192,-0.0125,0.9358,0.936
4.8910,-0.0109,-0.0101,0.9358,0.936
4.9000,-0.0089,-0.0086,0.9422,0.942
4.9010,-0.0031,-0.0037,0.9588,0.959
4.9040,-0.0011,-0.0086,0.9710,0.971
4.9070,-0.0021,-0.0042,0.9905,0.991
4.9100,-0.0035,-0.0057,1.0003,1.000
4.9140,-0.0045,-0.0052,1.0086,1.009
4.9180,-0.0114,-0.0047,1.0194,1.019
4.9230,-0.0192,-0.0027,1.0052,1.005
4.9280,-0.0206,-0.0062,0.9969,0.997
4.9320,-0.0138,-0.0032,0.9861,0.986
4.9360,-0.0104,-0.0096,0.9808,0.981
4.9420,-0.0070,-0.0052,0.9749,0.975
4.9460,-0.0065,-0.0071,0.9769,0.977
4.9510,-0.0153,-0.0062,0.9710,0.971
4.9550,0.0004,-0.0037,0.9676,0.968
4.9600,-0.0070,-0.0062,0.9725,0.973
4.9630,-0.0109,-0.0032,0.9695,0.970
4.9670,-0.0104,-0.0125,0.9817,0.982
4.9750,-0.0079,-0.0052,0.9783,0.978
4.9770,-0.0055,-0.0047,0.9891,0.989
4.9810,-0.0133,-0.0032,0.9915,0.992
4.9860,-0.0099,-0.0047,0.9993,0.999
4.9910,-0.0040,-0.0057,0.9944,0.994
4.9940,-0.0094,-0.0057,0.9940,0.994
4.9980,-0.0055,-0.0037,0.9969,0.997
5.0020,-0.0065,-0.0140,0.9827,0.983
5.0090,-0.0099,-0.0052,0.9783,0.978
5.0110,-0.0016,-0.0086,0.9788,0.979
5.0160,-0.0075,-0.0037,0.9793,0.979
5.0200,-0.0109,-0.0037,0.9783,0.978
5.0360,-0.0133,-0.0027,0.9783,0.978
5.0370,-0.0079,-0.0091,0.9847,0.985
5.0380,-0.0128,-0.0037,0.9808,0.981
5.0390,-0.0084,-0.0052,0.9876,0.988
5.0410,-0.0075,-0.0091,0.9886,0.989
5.0460,-0.0099,-0.0013,0.9910,0.991
5.0560,-0.0060,-0.0042,0.9881,0.988
5.0580,-0.0109,-0.0047,0.9861,0.986
5.0590,-0.0089,-0.0081,0.9852,0.985
5.0710,-0.0065,-0.0052,0.9808,0.981
5.0720,-0.0084,-0.0081,0.9827,0.983
5.0740,-0.0094,-0.0081,0.9783,0.978
5.0760,-0.0114,-0.0047,0.9793,0.979
5.0810,-0.0148,-0.0081,0.9842,0.984
5.0850,-0.0123,-0.0032,0.9857,0.986
5.0900,-0.0177,-0.0062,0.9861,0.986
5.0940,-0.0109,-0.0023,0.9905,0.991
5.0980,-0.0099,-0.0150,0.9896,0.990
5.1050,-0.0035,-0.0086,0.9896,0.990
5.1080,-0.0094,-0.0037,0.9842,0.984
5.1110,-0.0045,-0.0101,0.9866,0.987
5.1160,-0.0123,-0.0037,0.9813,0.981
5.1200,-0.0035,-0.0081,0.9891,0.989
5.1240,-0.0070,-0.0057,0.9822,0.982
5.1280,-0.0060,-0.0076,0.9725,0.973
5.1340,-0.0079,-0.0081,0.9744,0.974
5.1380,-0.0094,-0.0037,0.9837,0.984
5.1430,-0.0075,-0.0067,0.9866,0.987
5.1470,-0.0089,-0.0052,0.9866,0.987
5.1510,-0.0128,-0.0135,0.9852,0.985
5.1710,-0.0060,-0.0008,0.9847,0.985
5.1730,-0.0045,-0.0013,0.9876,0.988
5.1740,-0.0084,-0.0023,0.9896,0.990
5.1750,-0.0118,-0.0042,0.9842,0.984
5.1770,-0.0099,-0.0067,0.9793,0.979
5.1780,-0.0084,-0.0076,0.9900,0.990
5.1820,-0.0070,-0.0018,0.9876,0.988
5.1950,-0.0133,-0.0047,0.9788,0.979
5.1970,-0.0118,-0.0047,0.9935,0.994
5.2000,-0.0094,-0.0145,0.9881,0.988
5.2010,-0.0138,-0.0057,0.9808,0.981
5.2030,-0.0035,-0.0081,0.9861,0.986
5.2070,-0.0075,-0.0067,0.9900,0.990
5.2110,-0.0084,-0.0101,0.9813,0.981
5.2160,-0.0089,-0.0086,0.9847,0.985
5.2220,-0.0050,-0.0052,0.9842,0.984
5.2250,-0.0055,-0.0076,0.9886,0.989
5.2510,-0.0055,-0.0062,0.9773,0.977
5.2510,-0.0070,-0.0032,0.9832,0.983
5.2520,-0.0079,-0.0062,0.9773,0.977
5.2530,-0.0138,-0.0042,0.9847,0.985
5.2530,-0.0104,-0.0018,0.9803,0.980
5.2540,-0.0118,-0.0008,0.9764,0.976
5.2640,-0.0158,-0.0057,0.9764,0.977
5.2650,-0.0089,-0.0042,0.9857,0.986
5.2660,-0.0084,-0.0067,0.9778,0.978
5.2690,-0.0079,-0.0037,0.9837,0.984
5.2720,-0.0148,-0.0018,0.9857,0.986
5.2770,-0.0143,-0.0071,0.9896,0.990
5.2810,-0.0177,-0.0047,0.9930,0.993
5.2960,-0.0202,-0.0071,0.9940,0.994
5.2970,-0.0148,-0.0071,0.9910,0.991
5.3060,-0.0099,-0.0067,0.9905,0.991
5.3080,-0.0109,-0.0023,0.9896,0.990
5.3080,-0.0118,-0.0047,0.9847,0.985
5.3140,-0.0114,-0.0125,0.9876,0.988
5.3160,-0.0089,-0.0081,0.9764,0.976
5.3160,-0.0182,-0.0081,0.9808,0.981
5.3280,-0.0084,-0.0052,0.9832,0.983
5.3320,-0.0114,-0.0076,0.9808,0.981
5.3340,-0.0123,-0.0076,0.9861,0.986
5.3340,-0.0075,-0.0023,0.9847,0.985
5.3400,-0.0104,-0.0047,0.9857,0.986
5.3420,-0.0153,-0.0057,0.9891,0.989
5.3460,-0.0148,-0.0067,0.9871,0.987
5.3520,-0.0123,-0.0057,0.9827,0.983
5.3550,-0.0099,-0.0032,0.9910,0.991
5.3620,-0.0089,-0.0052,0.9857,0.986
5.3670,-0.0162,-0.0057,0.9896,0.990
5.3710,-0.0202,-0.0062,0.9813,0.981
5.3730,-0.0118,-0.0076,0.9852,0.985
5.3780,-0.0109,-0.0027,0.9837,0.984
5.3830,-0.0148,-0.0067,0.9837,0.984
5.3870,-0.0133,-0.0057,0.9881,0.988
5.3920,-0.0079,-0.0032,0.9896,0.990
5.3960,-0.0138,-0.0062,0.9808,0.981
5.4050,-0.0123,-0.0062,0.9847,0.985
5.4060,-0.0070,-0.0052,0.9759,0.976
5.4080,-0.0158,-0.0067,0.9832,0.983
5.4130,-0.0099,-0.0096,0.9773,0.977
5.4200,-0.0123,-0.0081,0.9773,0.977
5.4210,-0.0143,-0.0071,0.9759,0.976
5.4260,-0.0094,-0.0027,0.9866,0.987
5.4420,-0.0079,-0.0071,0.9886,0.989
5.4430,-0.0109,-0.0037,0.9900,0.990
5.4440,-0.0099,-0.0042,0.9788,0.979
5.4650,-0.0118,-0.0057,0.9827,0.983
5.4660,-0.0079,-0.0081,0.9827,0.983
5.4670,-0.0104,-0.0047,0.9857,0.986
5.4680,-0.0162,-0.0037,0.9822,0.982
5.4700,-0.0114,-0.0067,0.9837,0.984
5.4710,-0.0050,-0.0081,0.9910,0.991
5.4720,-0.0099,-0.0076,0.9793,0.979
5.4730,-0.0109,-0.0047,0.9876,0.988
5.4780,-0.0133,-0.0052,0.9871,0.987
5.4840,-0.0128,-0.0047,0.9837,0.984
5.4860,-0.0079,-0.0081,0.9842,0.984
5.4910,-0.0109,-0.0047,0.9910,0.991
5.4970,-0.0084,-0.0067,0.9822,0.982
5.5010,-0.0143,-0.0086,0.9847,0.985
5.5040,-0.0123,-0.0027,0.9803,0.980
5.5080,-0.0118,-0.0018,0.9769,0.977
5.5150,-0.0065,-0.0071,0.9803,0.980
5.5180,-0.0187,-0.0067,0.9861,0.986
5.5220,-0.0153,-0.0057,0.9773,0.977
5.5270,-0.0123,-0.0071,0.9940,0.994
5.5320,-0.0094,-0.0052,0.9900,0.990
5.5350,-0.0099,-0.0037,0.9866,0.987
5.5400,-0.0114,-0.0018,0.9822,0.982
5.5440,-0.0104,-0.0023,0.9832,0.983
5.5490,-0.0099,-0.0067,0.9857,0.986
5.5530,-0.0089,-0.0086,0.9822,0.982
5.5570,-0.0128,-0.0115,0.9793,0.979
5.5610,-0.0099,-0.0086,0.9813,0.981
5.5780,-0.0128,-0.0023,0.9881,0.988
5.5790,-0.0109,-0.0023,0.9827,0.983
5.5800,-0.0079,-0.0057,0.9832,0.983
5.5820,-0.0114,-0.0018,0.9764,0.976
5.5840,-0.0109,-0.0067,0.9847,0.985
5.5910,-0.0138,-0.0062,0.9773,0.977
5.5920,-0.0104,-0.0086,0.9847,0.985
5.6100,-0.0099,-0.0042,0.9857,0.986
5.6110,-0.0089,-0.0081,0.9847,0.985
5.6120,-0.0109,-0.0057,0.9842,0.984
5.6130,-0.0138,-0.0052,0.9813,0.981
5.6140,-0.0070,-0.0023,0.9837,0.984
5.6180,-0.0079,-0.0027,0.9778,0.978
5.6220,-0.0123,-0.0052,0.9832,0.983
5.6260,-0.0104,-0.0052,0.9896,0.990
5.6340,-0.0094,-0.0086,0.9783,0.978
5.6360,-0.0094,-0.0042,0.9749,0.975
5.6400,-0.0153,-0.0086,0.9764,0.977
5.6490,0.0077,-0.0189,0.6158,0.616
5.6500,-0.0070,0.0632,0.0524,0.082
5.6540,0.0751,0.0373,0.7252,0.730
5.6580,0.0478,-0.0316,1.2876,1.289
5.6660,-0.1066,-0.0521,1.3345,1.340
5.6780,-0.1482,-0.0374,1.2016,1.211
5.6790,-0.0739,-0.0194,1.1606,1.163
5.6790,-0.0402,-0.0096,1.1884,1.189
5.6800,-0.0363,-0.0111,1.1361,1.137
5.6840,-0.0319,-0.0120,1.0599,1.060
5.6880,-0.0392,-0.0091,1.0443,1.045
5.6920,-0.0289,-0.0115,1.0277,1.028
5.7030,-0.0206,-0.0150,1.0223,1.023
5.7040,-0.0265,-0.0208,1.0179,1.018
5.7130,-0.0373,-0.0164,1.0218,1.023
5.7140,-0.0363,-0.0130,1.0101,1.011
5.7150,-0.0431,-0.0101,1.0111,1.012
5.7250,-0.0490,-0.0106,1.0140,1.015
5.7250,-0.0417,-0.0155,1.0076,1.009
5.7290,-0.0324,-0.0184,1.0189,1.020
5.7310,-0.0260,-0.0145,1.0335,1.034
5.7350,-0.0231,-0.0115,1.0482,1.049
5.7400,-0.0285,-0.0135,1.0531,1.054
5.7440,-0.0221,-0.0135,1.0482,1.049
5.7480,-0.0348,-0.0125,1.0394,1.040
5.7530,-0.0426,-0.0086,1.0321,1.033
5.7570,-0.0446,-0.0057,0.9984,0.999
5.7630,-0.0319,-0.0071,0.9646,0.965
5.7660,-0.0118,-0.0013,0.9011,0.901
5.7740,-0.0079,0.0007,0.8352,0.835
5.7750,-0.0055,0.0016,0.8146,0.815
5.7800,-0.0084,-0.0032,0.8176,0.818
5.7850,-0.0011,-0.0018,0.8596,0.860
5.7880,-0.0026,-0.0076,0.9280,0.928
5.7930,-0.0079,-0.0091,0.9808,0.981
