time,gFx,gFy,gFz,gFTotal
2018-10-02 15:47:05.5170,0.005,0.009,-0.982,0.982
2018-10-02 15:47:05.5260,0.005,0.006,-0.973,0.973
2018-10-02 15:47:05.5520,0.008,-0.007,-0.977,0.977
2018-10-02 15:47:05.5530,0.008,-0.007,-0.977,0.977
2018-10-02 15:47:05.5560,0.006,-0.008,-0.988,0.988
2018-10-02 15:47:05.5660,0.004,-0.003,-1.002,1.002
2018-10-02 15:47:05.5770,-0.0,0.002,-1.01,1.01
2018-10-02 15:47:05.6020,-0.0,0.005,-1.021,1.021
2018-10-02 15:47:05.6020,-0.0,0.005,-1.021,1.021
2018-10-02 15:47:05.6060,0.001,0.002,-1.021,1.021
2018-10-02 15:47:05.6160,0.004,-0.001,-1.018,1.018
2018-10-02 15:47:05.6260,0.008,-0.002,-1.016,1.016
2018-10-02 15:47:05.6510,0.008,-0.007,-1.013,1.013
2018-10-02 15:47:05.6510,0.008,-0.007,-1.013,1.013
2018-10-02 15:47:05.6560,0.011,-0.009,-1.011,1.011
2018-10-02 15:47:05.6660,0.01,-0.01,-1.013,1.013
2018-10-02 15:47:05.6760,0.013,-0.014,-1.023,1.023
2018-10-02 15:47:05.7010,0.021,-0.016,-1.034,1.034
2018-10-02 15:47:05.7020,0.021,-0.016,-1.034,1.034
2018-10-02 15:47:05.7060,0.022,-0.019,-1.033,1.033
2018-10-02 15:47:05.7160,0.023,-0.018,-1.028,1.028
2018-10-02 15:47:05.7260,0.02,-0.012,-1.022,1.022
2018-10-02 15:47:05.7510,0.021,-0.001,-1.012,1.012
2018-10-02 15:47:05.7520,0.021,-0.001,-1.012,1.012
2018-10-02 15:47:05.7560,0.02,0.0,-1.008,1.008
2018-10-02 15:47:05.7660,0.023,-0.002,-1.007,1.007
2018-10-02 15:47:05.7760,0.027,-0.007,-1.005,1.005
2018-10-02 15:47:05.8020,0.033,-0.022,-1.002,1.003
2018-10-02 15:47:05.8020,0.033,-0.022,-1.002,1.003
2018-10-02 15:47:05.8050,0.037,-0.024,-0.995,0.996
2018-10-02 15:47:05.8150,0.037,-0.024,-0.994,0.995
2018-10-02 15:47:05.8250,0.034,-0.022,-1.002,1.003
2018-10-02 15:47:05.8520,0.029,-0.017,-1.009,1.01
2018-10-02 15:47:05.8520,0.029,-0.017,-1.009,1.01
2018-10-02 15:47:05.8550,0.027,-0.015,-1.012,1.012
2018-10-02 15:47:05.8650,0.024,-0.016,-1.013,1.013
2018-10-02 15:47:05.8750,0.021,-0.016,-1.016,1.016
2018-10-02 15:47:05.9000,0.016,-0.016,-1.011,1.011
2018-10-02 15:47:05.9010,0.016,-0.016,-1.011,1.011
2018-10-02 15:47:05.9050,0.018,-0.017,-1.008,1.008
2018-10-02 15:47:05.9150,0.019,-0.017,-1.006,1.006
2018-10-02 15:47:05.9250,0.017,-0.017,-1.008,1.008
2018-10-02 15:47:05.9510,0.015,-0.011,-1.005,1.005
2018-10-02 15:47:05.9520,0.015,-0.011,-1.005,1.005
2018-10-02 15:47:05.9550,0.014,-0.011,-0.999,0.999
2018-10-02 15:47:05.9650,0.013,-0.012,-0.991,0.991
2018-10-02 15:47:05.9750,0.013,-0.01,-0.988,0.988
2018-10-02 15:47:06.0010,0.01,-0.004,-0.985,0.985
2018-10-02 15:47:06.0020,0.01,-0.004,-0.985,0.985
2018-10-02 15:47:06.0050,0.01,-0.003,-0.985,0.985
2018-10-02 15:47:06.0150,0.014,-0.007,-0.986,0.986
2018-10-02 15:47:06.0250,0.02,-0.011,-0.992,0.992
2018-10-02 15:47:06.0510,0.022,-0.01,-1.01,1.01
2018-10-02 15:47:06.0520,0.022,-0.01,-1.01,1.01
2018-10-02 15:47:06.0550,0.017,-0.006,-1.013,1.013
2018-10-02 15:47:06.0650,0.016,-0.005,-1.015,1.015
2018-10-02 15:47:06.0740,0.017,-0.008,-1.014,1.014
2018-10-02 15:47:06.1010,0.015,-0.006,-1.016,1.016
2018-10-02 15:47:06.1010,0.015,-0.006,-1.016,1.016
2018-10-02 15:47:06.1040,0.016,-0.002,-1.015,1.015
2018-10-02 15:47:06.1140,0.017,-0.002,-1.011,1.011
2018-10-02 15:47:06.1240,0.018,-0.009,-1.011,1.011
2018-10-02 15:47:06.1510,0.018,-0.017,-1.023,1.023
2018-10-02 15:47:06.1510,0.018,-0.017,-1.023,1.023
2018-10-02 15:47:06.1540,0.019,-0.014,-1.029,1.029
2018-10-02 15:47:06.1640,0.018,-0.013,-1.032,1.032
2018-10-02 15:47:06.1740,0.016,-0.014,-1.03,1.03
2018-10-02 15:47:06.2010,0.02,-0.008,-1.026,1.026
2018-10-02 15:47:06.2010,0.02,-0.008,-1.026,1.026
2018-10-02 15:47:06.2040,0.021,-0.007,-1.015,1.015
2018-10-02 15:47:06.2140,0.021,-0.009,-1.005,1.005
2018-10-02 15:47:06.2240,0.02,-0.007,-1.001,1.001
2018-10-02 15:47:06.2510,0.015,-0.003,-0.998,0.998
2018-10-02 15:47:06.2510,0.015,-0.003,-0.998,0.998
2018-10-02 15:47:06.2540,0.013,-0.005,-1.002,1.002
2018-10-02 15:47:06.2640,0.016,-0.008,-1.003,1.003
2018-10-02 15:47:06.2740,0.016,-0.009,-1.004,1.004
2018-10-02 15:47:06.3000,0.017,-0.005,-1.008,1.008
2018-10-02 15:47:06.3010,0.017,-0.005,-1.008,1.008
2018-10-02 15:47:06.3040,0.019,0.001,-1.014,1.014
2018-10-02 15:47:06.3140,0.02,0.005,-1.021,1.021
2018-10-02 15:47:06.3240,0.02,0.003,-1.025,1.025
2018-10-02 15:47:06.3500,0.025,-0.009,-1.018,1.018
2018-10-02 15:47:06.3500,0.025,-0.009,-1.018,1.018
2018-10-02 15:47:06.3530,0.025,-0.017,-1.004,1.004
2018-10-02 15:47:06.3640,0.022,-0.017,-0.992,0.992
2018-10-02 15:47:06.3730,0.018,-0.012,-0.987,0.987
2018-10-02 15:47:06.4000,0.016,-0.004,-0.99,0.99
2018-10-02 15:47:06.4010,0.016,-0.004,-0.99,0.99
2018-10-02 15:47:06.4030,0.017,-0.006,-0.998,0.998
2018-10-02 15:47:06.4130,0.021,-0.011,-1.006,1.006
2018-10-02 15:47:06.4230,0.025,-0.018,-1.01,1.01
2018-10-02 15:47:06.4500,0.023,-0.024,-1.003,1.004
2018-10-02 15:47:06.4500,0.023,-0.024,-1.003,1.004
2018-10-02 15:47:06.4530,0.023,-0.023,-0.999,1.0
2018-10-02 15:47:06.4630,0.019,-0.019,-0.998,0.998
2018-10-02 15:47:06.4730,0.016,-0.013,-0.997,0.997
2018-10-02 15:47:06.5000,0.017,-0.007,-1.002,1.002
2018-10-02 15:47:06.5000,0.017,-0.007,-1.002,1.002
2018-10-02 15:47:06.5030,0.019,-0.006,-1.006,1.006
2018-10-02 15:47:06.5130,0.02,-0.005,-1.012,1.012
2018-10-02 15:47:06.5230,0.018,-0.008,-1.015,1.015
2018-10-02 15:47:06.5500,0.014,-0.014,-1.013,1.013
2018-10-02 15:47:06.5500,0.014,-0.014,-1.013,1.013
2018-10-02 15:47:06.5530,0.011,-0.014,-1.011,1.011
2018-10-02 15:47:06.5630,0.011,-0.013,-1.007,1.007
2018-10-02 15:47:06.5730,0.012,-0.014,-1.007,1.007
2018-10-02 15:47:06.5990,0.016,-0.009,-1.016,1.016
2018-10-02 15:47:06.5990,0.016,-0.009,-1.016,1.016
2018-10-02 15:47:06.6030,0.019,-0.007,-1.021,1.021
2018-10-02 15:47:06.6130,0.021,-0.004,-1.026,1.026
2018-10-02 15:47:06.6220,0.023,-0.004,-1.027,1.027
2018-10-02 15:47:06.6490,0.011,-0.014,-1.022,1.022
2018-10-02 15:47:06.6500,0.011,-0.014,-1.022,1.022
2018-10-02 15:47:06.6520,0.012,-0.016,-1.016,1.016
2018-10-02 15:47:06.6620,0.009,-0.015,-1.006,1.006
2018-10-02 15:47:06.6720,0.006,-0.014,-0.998,0.998
2018-10-02 15:47:06.6980,0.005,-0.009,-0.988,0.988
2018-10-02 15:47:06.6990,0.005,-0.009,-0.988,0.988
2018-10-02 15:47:06.7020,0.005,-0.008,-0.989,0.989
2018-10-02 15:47:06.7120,0.007,-0.01,-0.996,0.996
2018-10-02 15:47:06.7220,0.01,-0.012,-1.005,1.005
2018-10-02 15:47:06.7480,0.011,-0.02,-1.022,1.022
2018-10-02 15:47:06.7490,0.011,-0.02,-1.022,1.022
2018-10-02 15:47:06.7520,0.013,-0.024,-1.019,1.019
2018-10-02 15:47:06.7620,0.013,-0.026,-1.013,1.013
2018-10-02 15:47:06.7720,0.012,-0.022,-1.005,1.005
2018-10-02 15:47:06.7990,0.009,-0.002,-0.995,0.995
2018-10-02 15:47:06.7990,0.009,-0.002,-0.995,0.995
2018-10-02 15:47:06.8020,0.007,0.001,-0.996,0.996
2018-10-02 15:47:06.8120,0.009,-0.002,-1.003,1.003
2018-10-02 15:47:06.8220,0.016,-0.008,-1.009,1.009
2018-10-02 15:47:06.8490,0.025,-0.019,-1.014,1.014
2018-10-02 15:47:06.8490,0.025,-0.019,-1.014,1.014
2018-10-02 15:47:06.8520,0.027,-0.017,-1.008,1.009
2018-10-02 15:47:06.8620,0.022,-0.012,-1.005,1.005
2018-10-02 15:47:06.8710,0.023,-0.007,-1.006,1.006
2018-10-02 15:47:06.8980,0.02,-0.003,-1.018,1.018
2018-10-02 15:47:06.8980,0.02,-0.003,-1.018,1.018
2018-10-02 15:47:06.9010,0.023,-0.007,-1.025,1.025
2018-10-02 15:47:06.9120,0.025,-0.015,-1.028,1.028
2018-10-02 15:47:06.9210,0.028,-0.024,-1.024,1.025
2018-10-02 15:47:06.9480,0.025,-0.032,-1.012,1.013
2018-10-02 15:47:06.9480,0.025,-0.032,-1.012,1.013
2018-10-02 15:47:06.9510,0.024,-0.028,-1.008,1.009
2018-10-02 15:47:06.9620,0.02,-0.025,-1.002,1.003
2018-10-02 15:47:06.9710,0.014,-0.024,-0.997,0.997
2018-10-02 15:47:06.9980,0.013,-0.029,-1.006,1.007
2018-10-02 15:47:06.9980,0.013,-0.029,-1.006,1.007
2018-10-02 15:47:07.0010,0.013,-0.04,-1.012,1.013
2018-10-02 15:47:07.0120,0.015,-0.048,-1.007,1.008
2018-10-02 15:47:07.0210,0.013,-0.05,-0.997,0.998
2018-10-02 15:47:07.0480,0.004,-0.044,-0.971,0.972
2018-10-02 15:47:07.0480,0.004,-0.044,-0.971,0.972
2018-10-02 15:47:07.0510,0.0,-0.034,-0.965,0.966
2018-10-02 15:47:07.0610,-0.0,-0.029,-0.965,0.965
2018-10-02 15:47:07.0710,-0.002,-0.028,-0.976,0.976
2018-10-02 15:47:07.0970,-0.014,-0.04,-0.999,1.0
2018-10-02 15:47:07.0970,-0.014,-0.04,-0.999,1.0
2018-10-02 15:47:07.1010,-0.016,-0.048,-1.002,1.003
2018-10-02 15:47:07.1110,-0.009,-0.051,-0.993,0.994
2018-10-02 15:47:07.1210,0.001,-0.052,-0.967,0.968
2018-10-02 15:47:07.1460,0.009,-0.089,-0.916,0.92
2018-10-02 15:47:07.1470,0.009,-0.089,-0.916,0.92
2018-10-02 15:47:07.1500,0.013,-0.098,-0.894,0.899
2018-10-02 15:47:07.1610,0.006,-0.092,-0.868,0.873
2018-10-02 15:47:07.1710,-0.017,-0.074,-0.84,0.843
2018-10-02 15:47:07.1960,-0.116,-0.088,-0.787,0.8
2018-10-02 15:47:07.1970,-0.116,-0.088,-0.787,0.8
2018-10-02 15:47:07.2000,-0.181,-0.111,-0.774,0.803
2018-10-02 15:47:07.2100,-0.233,-0.139,-0.707,0.757
2018-10-02 15:47:07.2200,-0.212,-0.133,-0.508,0.566
2018-10-02 15:47:07.2460,-0.11,-0.072,-0.25,0.282
2018-10-02 15:47:07.2470,-0.11,-0.072,-0.25,0.282
2018-10-02 15:47:07.2500,-0.046,-0.013,-0.223,0.228
2018-10-02 15:47:07.2610,0.059,-0.013,-0.189,0.198
2018-10-02 15:47:07.2700,0.08,-0.056,-0.111,0.148
2018-10-02 15:47:07.2960,0.028,-0.016,0.066,0.073
2018-10-02 15:47:07.2960,0.028,-0.016,0.066,0.073
2018-10-02 15:47:07.3000,0.003,-0.017,0.085,0.087
2018-10-02 15:47:07.3100,-0.01,-0.015,0.074,0.076
2018-10-02 15:47:07.3200,-0.02,-0.011,0.08,0.083
2018-10-02 15:47:07.3460,-0.037,-0.003,0.075,0.084
2018-10-02 15:47:07.3460,-0.037,-0.003,0.075,0.084
2018-10-02 15:47:07.3500,-0.042,-0.001,0.065,0.077
2018-10-02 15:47:07.3600,-0.039,0.0,0.05,0.063
2018-10-02 15:47:07.3700,-0.04,-0.0,0.041,0.057
2018-10-02 15:47:07.3960,-0.019,0.001,0.019,0.027
2018-10-02 15:47:07.3970,-0.019,0.001,0.019,0.027
2018-10-02 15:47:07.4000,-0.007,0.003,0.011,0.013
2018-10-02 15:47:07.4090,-0.001,0.003,0.003,0.004
2018-10-02 15:47:07.4200,0.001,0.004,-0.006,0.007
2018-10-02 15:47:07.4460,0.006,0.005,-0.021,0.022
2018-10-02 15:47:07.4470,0.006,0.005,-0.021,0.022
2018-10-02 15:47:07.4490,0.011,0.004,-0.028,0.03
2018-10-02 15:47:07.4590,0.018,0.005,-0.034,0.039
2018-10-02 15:47:07.4690,0.025,0.004,-0.042,0.049
2018-10-02 15:47:07.4960,0.025,0.002,-0.047,0.053
2018-10-02 15:47:07.4970,0.025,0.002,-0.047,0.053
2018-10-02 15:47:07.4990,0.023,0.002,-0.048,0.053
2018-10-02 15:47:07.5090,0.027,0.002,-0.051,0.058
2018-10-02 15:47:07.5190,0.029,0.001,-0.054,0.061
2018-10-02 15:47:07.5470,0.033,-0.0,-0.057,0.066
2018-10-02 15:47:07.5470,0.033,-0.0,-0.057,0.066
2018-10-02 15:47:07.5490,0.034,-0.001,-0.059,0.068
2018-10-02 15:47:07.5590,0.035,-0.0,-0.061,0.07
2018-10-02 15:47:07.5690,0.036,-0.001,-0.064,0.073
2018-10-02 15:47:07.5960,0.043,-0.003,-0.071,0.083
2018-10-02 15:47:07.5970,0.043,-0.003,-0.071,0.083
2018-10-02 15:47:07.5990,0.047,-0.003,-0.074,0.088
2018-10-02 15:47:07.6090,0.051,-0.004,-0.078,0.093
2018-10-02 15:47:07.6190,0.057,-0.004,-0.085,0.102
2018-10-02 15:47:07.6460,0.079,-0.004,-0.121,0.145
2018-10-02 15:47:07.6470,0.079,-0.004,-0.121,0.145
2018-10-02 15:47:07.6490,0.144,-0.051,-0.598,0.617
2018-10-02 15:47:07.6590,0.607,-0.362,-2.063,2.181
2018-10-02 15:47:07.6690,-0.761,-0.134,0.508,0.925
2018-10-02 15:47:07.6970,0.754,-0.104,0.0,0.761
2018-10-02 15:47:07.6980,0.754,-0.104,0.0,0.761
2018-10-02 15:47:07.6990,0.263,-0.066,0.043,0.275
2018-10-02 15:47:07.7080,0.233,-0.017,-0.103,0.255
2018-10-02 15:47:07.7190,0.122,-0.005,-0.156,0.198
2018-10-02 15:47:07.7460,0.004,-0.003,-0.183,0.183
2018-10-02 15:47:07.7470,0.004,-0.003,-0.183,0.183
2018-10-02 15:47:07.7480,-0.018,0.001,-0.144,0.145
2018-10-02 15:47:07.7580,-0.022,0.004,-0.11,0.112
2018-10-02 15:47:07.7680,-0.015,0.003,-0.083,0.084
2018-10-02 15:47:07.7950,-0.056,-0.058,-0.068,0.105
2018-10-02 15:47:07.7950,-0.056,-0.058,-0.068,0.105
2018-10-02 15:47:07.7980,-0.048,-0.029,-0.075,0.094
2018-10-02 15:47:07.8080,-0.038,-0.013,-0.087,0.096
2018-10-02 15:47:07.8180,-0.106,-0.105,-0.062,0.162
2018-10-02 15:47:07.8450,0.897,-0.207,-0.935,1.312
2018-10-02 15:47:07.8450,0.897,-0.207,-0.935,1.312
2018-10-02 15:47:07.8480,0.266,-0.178,0.37,0.489
2018-10-02 15:47:07.8580,0.298,-0.183,-0.024,0.351
2018-10-02 15:47:07.8680,0.617,0.069,-0.255,0.671
2018-10-02 15:47:07.8930,3.017,0.883,-2.26,3.872
2018-10-02 15:47:07.8930,3.017,0.883,-2.26,3.872
2018-10-02 15:47:07.8980,-0.388,0.028,0.504,0.637
2018-10-02 15:47:07.9080,0.146,0.102,-0.059,0.188
2018-10-02 15:47:07.9180,0.157,0.101,-0.055,0.195
2018-10-02 15:47:07.9420,0.114,0.377,-0.674,0.781
2018-10-02 15:47:07.9420,0.114,0.377,-0.674,0.781
2018-10-02 15:47:07.9480,0.206,0.217,-1.012,1.055
2018-10-02 15:47:07.9580,0.517,-0.257,-0.215,0.616
2018-10-02 15:47:07.9680,0.265,-0.42,-0.653,0.82
2018-10-02 15:47:07.9920,-1.62,1.105,-2.942,3.536
2018-10-02 15:47:07.9920,-1.62,1.105,-2.942,3.536
2018-10-02 15:47:07.9970,-0.843,1.094,-4.162,4.385
2018-10-02 15:47:08.0070,0.149,0.019,-0.197,0.248
2018-10-02 15:47:08.0170,0.052,0.088,-0.34,0.355
2018-10-02 15:47:08.0420,0.088,0.1,-0.352,0.376
2018-10-02 15:47:08.0420,0.088,0.1,-0.352,0.376
2018-10-02 15:47:08.0470,0.164,0.127,-1.054,1.074
2018-10-02 15:47:08.0570,0.387,0.219,-2.268,2.311
2018-10-02 15:47:08.0670,0.501,0.201,-1.401,1.501
2018-10-02 15:47:08.0930,-0.299,-0.309,-0.307,0.528
2018-10-02 15:47:08.0930,-0.299,-0.309,-0.307,0.528
2018-10-02 15:47:08.0970,-0.479,-0.145,-0.868,1.002
2018-10-02 15:47:08.1070,0.062,0.084,-1.133,1.138
2018-10-02 15:47:08.1170,0.189,0.062,-1.075,1.093
2018-10-02 15:47:08.1430,0.187,0.02,-1.027,1.044
2018-10-02 15:47:08.1430,0.187,0.02,-1.027,1.044
2018-10-02 15:47:08.1470,-0.095,-0.011,-1.154,1.158
2018-10-02 15:47:08.1570,-0.247,0.074,-1.03,1.062
2018-10-02 15:47:08.1670,-0.02,0.037,-0.985,0.986
2018-10-02 15:47:08.1920,0.077,0.047,-1.065,1.069
2018-10-02 15:47:08.1920,0.077,0.047,-1.065,1.069
2018-10-02 15:47:08.1970,-0.001,0.033,-0.981,0.982
2018-10-02 15:47:08.2070,-0.057,0.018,-0.981,0.983
2018-10-02 15:47:08.2170,-0.039,0.014,-0.998,0.999
2018-10-02 15:47:08.2410,0.037,0.009,-0.969,0.97
2018-10-02 15:47:08.2420,0.037,0.009,-0.969,0.97
2018-10-02 15:47:08.2470,0.019,0.012,-0.979,0.979
2018-10-02 15:47:08.2570,-0.011,0.015,-0.992,0.992
2018-10-02 15:47:08.2670,-0.02,0.023,-1.001,1.001
2018-10-02 15:47:08.2920,0.007,0.032,-1.023,1.024
2018-10-02 15:47:08.2930,0.007,0.032,-1.023,1.024
2018-10-02 15:47:08.2960,0.0,0.034,-1.026,1.027
2018-10-02 15:47:08.3060,-0.01,0.035,-1.027,1.028
2018-10-02 15:47:08.3160,-0.009,0.032,-1.022,1.023
2018-10-02 15:47:08.3430,0.002,0.028,-1.009,1.009
2018-10-02 15:47:08.3430,0.002,0.028,-1.009,1.009
2018-10-02 15:47:08.3460,-0.001,0.024,-1.003,1.003
2018-10-02 15:47:08.3560,-0.003,0.021,-0.997,0.997
2018-10-02 15:47:08.3660,-0.001,0.02,-0.996,0.996
2018-10-02 15:47:08.3920,0.0,0.021,-0.999,0.999
2018-10-02 15:47:08.3930,0.0,0.021,-0.999,0.999
2018-10-02 15:47:08.3960,-0.002,0.024,-1.005,1.005
2018-10-02 15:47:08.4060,-0.003,0.025,-1.009,1.009
2018-10-02 15:47:08.4160,-0.003,0.027,-1.012,1.012
2018-10-02 15:47:08.4420,-0.003,0.029,-1.015,1.015
2018-10-02 15:47:08.4420,-0.003,0.029,-1.015,1.015
2018-10-02 15:47:08.4460,-0.003,0.029,-1.015,1.015
2018-10-02 15:47:08.4560,-0.002,0.027,-1.01,1.01
2018-10-02 15:47:08.4660,-0.001,0.026,-1.008,1.008
2018-10-02 15:47:08.4920,-0.002,0.024,-1.003,1.003
2018-10-02 15:47:08.4920,-0.002,0.024,-1.003,1.003
2018-10-02 15:47:08.4960,-0.001,0.023,-1.003,1.003
2018-10-02 15:47:08.5060,-0.001,0.024,-1.005,1.005
2018-10-02 15:47:08.5160,-0.001,0.025,-1.006,1.006
2018-10-02 15:47:08.5410,-0.002,0.026,-1.01,1.01
2018-10-02 15:47:08.5420,-0.002,0.026,-1.01,1.01
2018-10-02 15:47:08.5460,-0.002,0.027,-1.012,1.012
2018-10-02 15:47:08.5550,-0.003,0.027,-1.01,1.01
2018-10-02 15:47:08.5650,-0.003,0.026,-1.011,1.011
2018-10-02 15:47:08.5910,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.5920,-0.002,0.026,-1.008,1.008
2018-10-02 15:47:08.5950,-0.001,0.025,-1.006,1.006
2018-10-02 15:47:08.6050,-0.002,0.025,-1.006,1.006
2018-10-02 15:47:08.6150,-0.002,0.025,-1.007,1.007
2018-10-02 15:47:08.6420,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:08.6420,-0.003,0.026,-1.007,1.007
2018-10-02 15:47:08.6450,-0.002,0.025,-1.009,1.009
2018-10-02 15:47:08.6550,-0.003,0.026,-1.008,1.008
2018-10-02 15:47:08.6650,-0.002,0.026,-1.009,1.009
2018-10-02 15:47:08.6910,-0.002,0.027,-1.009,1.009
2018-10-02 15:47:08.6920,-0.002,0.027,-1.009,1.009
2018-10-02 15:47:08.6950,-0.002,0.026,-1.008,1.008
